timestamp,git_sha,config_hash,model,dataset,family,corruption,severity,conf_thresh,seed,precision,recall,f1,map50,map50_95,recall_small,recall_medium,recall_large,n_gt,n_gt_small,n_gt_medium,n_gt_large,tp,fp
2026-08-12T06:41:35.687832+00:00,8f3c087,44ab694de883,yolo11,heridal,clean,clean,0,0.45,20260707,0.8547854785478548,0.7685459940652819,0.8093750000000001,0.8029224366273443,0.5096340853668341,0.8,0.7706422018348624,0.6,337,5,327,5,259,44
2026-08-12T06:44:26.065373+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,water_glare,1,0.45,20260707,0.8586206896551725,0.7388724035608308,0.7942583732057416,0.7852081112296255,0.49139164110895145,0.8,0.7400611620795107,0.6,337,5,327,5,249,41
2026-08-12T06:47:35.212358+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,water_glare,2,0.45,20260707,0.8517241379310345,0.7329376854599406,0.7878787878787878,0.7805203598868671,0.488276550306589,0.8,0.7339449541284404,0.6,337,5,327,5,247,43
2026-08-12T06:50:56.217879+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,water_glare,3,0.45,20260707,0.8301886792452831,0.6528189910979229,0.7308970099667774,0.6802717711434995,0.42349152808071217,0.8,0.6513761467889908,0.6,337,5,327,5,220,45
2026-08-12T06:53:03.421183+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,turbidity_cast,1,0.45,20260707,0.8490566037735849,0.6676557863501483,0.7475083056478404,0.7530757485306706,0.46842611369139797,0.6,0.672782874617737,0.4,337,5,327,5,225,40
2026-08-12T06:55:09.111831+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,turbidity_cast,2,0.45,20260707,0.8473684210526315,0.47774480712166173,0.6110056925996206,0.6203313783959825,0.36670269202017364,0.6,0.4801223241590214,0.2,337,5,327,5,161,29
2026-08-12T06:57:13.502347+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,turbidity_cast,3,0.45,20260707,0.8208955223880597,0.1632047477744807,0.2722772277227723,0.39167936014153565,0.22248004268797866,0.2,0.1651376146788991,0.0,337,5,327,5,55,12
2026-08-12T07:00:52.302000+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,inundation,1,0.45,20260707,0.8571428571428571,0.7477744807121661,0.7987321711568938,0.7894717186808656,0.5008856118062892,0.8,0.7492354740061162,0.6,337,5,327,5,252,42
2026-08-12T07:04:31.335281+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,inundation,2,0.45,20260707,0.8770491803278688,0.6350148367952523,0.7366609294320137,0.7372806188534833,0.4415565748687617,0.6,0.636085626911315,0.6,337,5,327,5,214,30
2026-08-12T07:08:07.837495+00:00,8f3c087,44ab694de883,yolo11,heridal,flood,inundation,3,0.45,20260707,0.881578947368421,0.39762611275964393,0.5480572597137015,0.5050361949084309,0.30377476351302907,0.2,0.4036697247706422,0.2,337,5,327,5,134,18
